DOY_365,Tmin_C_p10,Tmin_C_p50,Tmin_C_p90,Tmax_C_p10,Tmax_C_p50,Tmax_C_p90,Tavg_C_p10,Tavg_C_p50,Tavg_C_p90,PRCP_mm_p10,PRCP_mm_p50,PRCP_mm_p90,SNOW_mm_p10,SNOW_mm_p50,SNOW_mm_p90,SNWD_mm_p10,SNWD_mm_p50,SNWD_mm_p90
148,12.850000000000001,17.2,21.1,18.470000000000002,26.7,31.050000000000004,15.635,21.799999999999997,25.765000000000004,0.0,0.5,10.220000000000004,0.0,0.0,0.0,0.0,0.0,0.0
149,11.809999999999999,17.5,21.050000000000004,18.41,27.5,31.64,15.605,22.5,26.345000000000002,0.0,0.0,12.790000000000004,0.0,0.0,0.0,0.0,0.0,0.0
150,12.309999999999999,16.95,21.7,21.75,26.7,32.2,18.375,21.125,27.145000000000003,0.0,0.0,3.550000000000005,0.0,0.0,0.0,0.0,0.0,0.0
151,10.17,17.75,21.7,22.85,28.3,32.8,17.205,22.075,27.22,0.0,0.0,6.07,0.0,0.0,0.0,0.0,0.0,0.0
152,12.26,17.75,22.15,23.36,28.85,33.25,18.049999999999997,22.775,27.5,0.0,0.0,9.520000000000008,0.0,0.0,0.0,0.0,0.0,0.0
153,13.41,17.8,21.7,22.91,28.3,32.150000000000006,17.415,22.9,26.400000000000002,0.0,0.0,10.830000000000018,0.0,0.0,0.0,0.0,0.0,0.0
154,13.9,16.95,20.6,19.29,27.2,30.0,17.385,21.799999999999997,24.745,0.0,0.3,19.72000000000001,0.0,0.0,0.0,0.0,0.0,0.0
155,13.950000000000001,16.7,21.1,20.650000000000002,27.25,31.64,17.355,21.549999999999997,25.82,0.0,0.0,10.300000000000002,0.0,0.0,0.0,0.0,0.0,0.0
156,14.46,17.5,21.1,21.75,27.8,32.63,18.05,22.5,26.045,0.0,0.0,10.940000000000015,0.0,0.0,0.0,0.0,0.0,0.0
157,14.46,17.8,21.590000000000003,22.31,27.75,32.8,18.16,22.35,26.95,0.0,0.0,8.930000000000016,0.0,0.0,0.0,0.0,0.0,0.0
158,14.46,17.8,21.7,22.8,27.5,32.74,19.209999999999997,22.75,28.110000000000003,0.0,0.0,5.730000000000001,0.0,0.0,0.0,0.0,0.0,0.0
159,14.46,18.3,22.740000000000002,23.95,28.3,33.839999999999996,19.174999999999997,23.325000000000003,28.025,0.0,0.0,1.4800000000000004,0.0,0.0,0.0,0.0,0.0,0.0
160,14.01,19.4,23.790000000000003,25.17,29.4,33.25,20.080000000000002,24.15,27.965,0.0,0.0,6.740000000000004,0.0,0.0,0.0,0.0,0.0,0.0
161,15.65,20.0,23.3,25.06,30.0,33.3,21.455,24.299999999999997,27.470000000000002,0.0,0.0,11.920000000000005,0.0,0.0,0.0,0.0,0.0,0.0
162,16.1,19.4,22.8,22.96,30.0,34.35,20.055,24.725,28.025,0.0,0.0,11.330000000000002,0.0,0.0,0.0,0.0,0.0,0.0
163,15.65,20.6,22.2,24.52,30.0,34.35,20.025,25.275,28.6,0.0,0.15,9.320000000000002,0.0,0.0,0.0,0.0,0.0,0.0
164,16.16,20.0,22.8,26.16,28.3,33.25,21.43,24.450000000000003,28.345,0.0,0.0,11.020000000000003,0.0,0.0,0.0,0.0,0.0,0.0
165,16.7,19.7,23.25,23.36,28.85,33.25,20.28,24.575,28.049999999999997,0.0,0.0,6.540000000000008,0.0,0.0,0.0,0.0,0.0,0.0
166,16.1,18.9,23.19,25.650000000000002,28.9,31.050000000000004,21.455,23.475,26.92,0.0,0.0,7.800000000000006,0.0,0.0,0.0,0.0,0.0,0.0
167,16.1,18.9,22.740000000000002,25.06,28.6,31.7,21.105,24.325000000000003,26.325000000000003,0.0,0.0,20.16000000000002,0.0,0.0,0.0,0.0,0.0,0.0
168,15.65,18.6,23.3,23.02,30.3,33.25,20.55,24.450000000000003,28.275,0.0,0.0,19.050000000000004,0.0,0.0,0.0,0.0,0.0,0.0
169,16.1,20.3,23.3,25.650000000000002,30.6,33.839999999999996,20.830000000000002,24.85,28.57,0.0,0.0,17.82000000000001,0.0,0.0,0.0,0.0,0.0,0.0
170,17.259999999999998,20.6,23.25,26.1,30.3,32.8,21.23,25.55,27.475,0.0,0.0,15.030000000000003,0.0,0.0,0.0,0.0,0.0,0.0
171,15.11,20.6,22.8,24.57,30.6,33.3,20.11,25.825000000000003,28.025,0.0,0.0,12.890000000000002,0.0,0.0,0.0,0.0,0.0,0.0
172,16.1,21.1,23.790000000000003,24.119999999999997,30.3,33.9,21.185000000000002,25.700000000000003,28.845,0.0,0.0,1.9300000000000015,0.0,0.0,0.0,0.0,0.0,0.0
173,16.86,21.1,23.84,25.22,30.0,35.6,21.974999999999998,25.275,29.650000000000006,0.0,0.15,19.990000000000013,0.0,0.0,0.0,0.0,0.0,0.0
174,17.259999999999998,20.3,23.9,23.95,29.7,35.370000000000005,20.875,24.7,29.510000000000005,0.0,0.0,13.320000000000004,0.0,0.0,0.0,0.0,0.0,0.0
175,16.75,21.1,23.3,27.91,30.6,33.9,22.53,25.975,28.05,0.0,0.0,2.700000000000002,0.0,0.0,0.0,0.0,0.0,0.0
176,18.9,21.4,23.3,29.4,31.4,34.35,24.48,26.125,28.345000000000002,0.0,0.0,10.92000000000001,0.0,0.0,0.0,0.0,0.0,0.0
177,18.9,22.2,23.3,28.36,31.950000000000003,35.0,24.18,26.95,29.125,0.0,0.0,9.390000000000006,0.0,0.0,0.0,0.0,0.0,0.0
178,18.95,21.7,23.9,27.2,30.85,33.9,23.125,26.1,28.84,0.0,0.5,8.590000000000007,0.0,0.0,0.0,0.0,0.0,0.0
179,18.95,21.7,23.84,25.0,31.1,34.94,22.5,25.85,28.6,0.0,0.0,12.270000000000008,0.0,0.0,0.0,0.0,0.0,0.0
180,18.36,20.6,23.9,27.259999999999998,30.6,33.9,23.630000000000003,25.6,28.87,0.0,0.0,0.9500000000000011,0.0,0.0,0.0,0.0,0.0,0.0
181,18.3,21.1,24.4,28.3,31.7,34.4,23.35,26.1,28.849999999999998,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0
182,18.3,21.7,23.9,27.8,31.1,33.9,23.05,26.4,28.6,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0
183,18.3,21.1,23.9,26.7,30.6,35.0,22.5,26.4,28.9,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0
184,17.2,21.1,23.9,25.6,31.1,36.1,22.2,26.950000000000003,30.25,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0
185,19.4,22.2,25.0,28.3,31.7,34.4,23.6,26.7,30.299999999999997,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0
186,19.4,22.8,25.0,28.9,31.1,36.7,24.4,26.65,30.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
187,18.3,22.8,26.1,28.9,31.7,36.7,24.15,27.2,31.95,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0
188,19.4,22.8,26.1,27.8,32.2,35.0,23.9,27.5,30.25,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0
189,18.9,22.2,25.0,27.2,32.2,35.6,23.049999999999997,27.200000000000003,29.7,0.0,0.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0
190,18.3,22.8,24.4,28.3,31.7,36.7,23.6,26.950000000000003,29.75,0.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0
191,20.0,21.7,23.9,28.3,31.1,33.3,24.15,26.4,28.599999999999998,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0
192,18.3,21.7,23.9,28.3,31.1,33.9,23.3,26.950000000000003,29.15,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
193,18.3,22.2,25.0,27.2,31.7,33.3,22.75,26.95,28.9,0.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0
194,19.4,22.8,24.4,27.8,31.7,34.4,23.9,27.200000000000003,29.4,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0
195,18.9,22.8,24.4,27.8,31.7,36.7,23.6,27.25,30.3,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0
196,18.3,22.8,24.4,28.9,32.2,35.6,24.200000000000003,27.25,30.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0
197,19.4,22.8,25.6,30.0,32.8,36.7,24.75,27.799999999999997,30.55,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0
198,20.6,23.3,25.0,29.4,33.3,36.1,25.0,28.299999999999997,30.549999999999997,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0
199,20.0,23.9,26.1,28.3,32.8,36.7,24.15,28.599999999999998,30.55,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0
200,20.6,23.3,26.1,28.3,33.3,36.1,24.15,28.049999999999997,31.1,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0
201,19.4,23.3,26.1,27.8,31.7,36.1,24.450000000000003,27.799999999999997,31.400000000000002,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
202,18.9,23.3,26.1,28.9,32.8,36.1,23.05,27.799999999999997,30.55,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0
203,20.0,23.3,24.4,28.3,31.7,35.6,23.6,27.200000000000003,30.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0
204,20.0,22.2,25.0,27.8,31.1,36.7,23.85,26.9,30.85,0.0,0.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0
205,19.4,22.8,24.4,28.3,30.6,35.0,24.15,26.4,29.45,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0
206,18.3,22.2,23.9,27.8,31.1,36.7,23.05,26.65,29.75,0.0,0.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0
207,19.4,22.2,25.0,26.7,31.7,36.1,24.15,26.95,30.3,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0
208,19.4,22.8,25.6,28.3,32.2,35.6,24.7,27.5,30.55,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0
209,20.6,22.2,25.6,28.9,33.3,35.6,24.45,27.75,30.25,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0
210,20.0,23.3,25.6,25.6,32.2,35.0,23.35,27.5,29.700000000000003,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0
211,18.9,23.3,25.6,26.7,31.1,35.0,23.35,27.200000000000003,30.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0
212,19.4,22.2,25.0,27.8,31.7,35.0,24.450000000000003,26.1,30.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
213,19.4,22.2,24.4,27.2,31.7,36.7,23.6,26.95,30.8,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0
214,18.9,22.8,24.4,28.9,32.2,36.7,23.9,27.5,30.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0
215,19.4,22.2,24.4,28.3,30.6,35.6,23.9,26.650000000000002,29.75,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0
216,20.0,22.8,25.0,28.3,32.2,35.6,24.200000000000003,27.200000000000003,30.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
217,18.9,22.8,23.9,27.8,31.7,35.6,23.85,27.2,29.75,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0
218,19.4,22.2,24.4,26.1,31.1,33.9,23.05,26.650000000000002,29.15,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0
219,17.8,21.7,25.0,25.6,31.1,34.4,22.8,26.4,28.9,0.0,0.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0
220,18.3,22.2,25.0,28.3,30.6,34.4,23.85,26.700000000000003,29.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
221,18.3,22.2,25.0,27.2,31.1,35.0,23.35,26.95,29.75,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
222,18.3,22.2,24.4,28.3,31.1,35.0,23.9,26.4,30.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0
223,19.4,22.2,24.4,28.3,31.7,35.6,25.0,26.7,29.200000000000003,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0
224,19.4,22.8,23.9,27.2,31.1,35.0,23.9,26.950000000000003,29.450000000000003,0.0,0.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0
225,18.3,22.8,25.0,26.7,30.6,35.6,23.35,26.65,30.55,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0
226,17.8,21.7,25.0,26.7,31.1,35.0,23.6,26.15,30.0,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0
227,18.9,22.2,24.4,26.7,30.6,33.9,22.5,26.1,29.15,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0
228,18.9,21.7,23.9,27.8,31.7,35.0,23.9,26.65,29.45,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0
229,18.9,22.2,24.4,28.3,31.7,35.6,23.6,26.950000000000003,30.25,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0
230,20.0,21.7,25.0,27.8,30.6,35.0,24.200000000000003,25.85,29.7,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0
231,18.3,21.7,24.4,25.0,31.1,33.3,21.4,26.15,28.849999999999998,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
232,17.8,21.1,23.3,24.4,30.0,33.3,20.85,25.549999999999997,28.849999999999998,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0
233,18.3,21.7,23.9,26.1,30.6,33.9,21.1,25.3,28.05,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
234,17.2,21.1,23.9,27.2,30.0,34.4,21.4,26.1,28.599999999999998,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
235,17.2,20.0,22.8,26.1,29.4,32.8,22.5,24.75,28.35,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0
236,17.8,20.6,22.8,27.2,30.0,33.3,22.5,25.3,27.8,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
237,18.3,20.6,23.3,27.8,30.0,33.9,23.3,25.0,28.6,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0
238,18.3,20.6,23.9,27.8,30.6,33.3,22.75,25.3,28.599999999999998,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0
239,18.9,21.7,23.9,26.1,30.6,33.3,22.5,26.15,28.6,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0
240,18.3,21.7,23.9,25.6,30.6,33.9,22.5,25.85,29.15,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0
241,18.3,21.7,23.9,25.6,30.6,34.4,23.1,25.8,28.9,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0
242,16.7,21.7,23.3,25.6,30.0,33.9,21.4,25.6,29.15,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
243,17.8,21.1,23.3,24.4,30.0,34.4,21.1,25.25,28.35,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
244,16.1,20.0,23.9,24.4,29.4,35.0,20.0,25.0,28.9,0.0,0.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0
245,15.6,19.4,23.3,25.0,28.9,33.3,20.85,25.0,28.049999999999997,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0
246,16.1,20.0,23.9,26.7,28.9,33.9,21.4,24.450000000000003,28.35,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
247,16.7,21.1,23.9,25.6,30.6,35.0,21.950000000000003,25.25,28.9,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
248,16.1,19.4,24.4,25.6,29.4,32.8,20.549999999999997,24.700000000000003,28.900000000000002,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0
249,15.6,18.3,23.3,24.4,28.3,34.4,19.7,23.65,28.049999999999997,0.0,0.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0
250,15.6,18.9,22.8,25.0,28.9,34.4,20.6,23.6,27.5,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0
251,15.0,19.4,22.2,24.4,28.9,33.3,19.7,23.9,27.75,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0
252,13.9,19.4,22.2,23.3,27.8,32.2,19.15,23.9,26.1,0.0,0.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0
253,15.0,20.0,22.8,23.9,28.3,32.2,20.0,24.15,26.7,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0
254,13.9,18.3,22.2,24.4,27.2,31.7,19.450000000000003,23.05,26.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
255,16.1,18.3,21.7,23.3,27.2,31.1,20.3,22.799999999999997,26.4,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0
256,15.6,17.2,21.7,24.4,28.3,32.2,20.85,23.049999999999997,26.4,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
257,13.3,18.9,22.2,23.3,27.8,32.8,18.3,23.299999999999997,27.200000000000003,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
258,12.8,17.8,22.2,21.7,27.8,32.2,18.6,23.05,27.200000000000003,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0
259,11.7,17.2,21.1,20.0,25.6,32.2,17.5,21.4,26.349999999999998,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
260,12.2,17.2,21.7,21.7,26.1,30.0,17.2,21.1,24.7,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0
261,12.8,17.8,21.1,22.8,26.7,29.4,17.5,22.200000000000003,25.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0
262,13.3,16.1,20.6,21.1,26.1,30.6,18.05,22.2,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,12.8,17.8,20.6,22.2,26.7,30.0,18.049999999999997,21.950000000000003,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,12.2,17.8,20.6,21.1,26.7,31.1,17.200000000000003,22.25,25.25,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0
265,11.7,17.8,21.1,22.8,26.7,30.6,16.4,22.5,25.3,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
266,12.2,16.1,21.1,20.6,25.0,32.2,16.65,20.549999999999997,26.15,0.0,0.0,24.6,0.0,0.0,0.0,0.0,0.0,0.0
267,11.1,16.1,20.0,20.6,23.9,28.9,16.7,19.700000000000003,24.700000000000003,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0
268,11.7,16.1,20.6,20.0,25.0,28.9,16.95,20.0,23.9,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0
269,12.8,16.7,20.6,18.3,25.0,30.0,15.85,20.6,25.3,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0
270,12.2,16.7,20.6,22.8,25.6,29.4,18.6,21.65,24.700000000000003,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
271,12.8,17.2,20.0,21.7,26.7,28.9,16.950000000000003,21.65,23.85,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0
272,12.2,14.4,18.9,20.0,23.3,26.7,15.549999999999999,19.45,21.95,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0
273,10.0,13.9,19.4,18.9,23.3,26.1,15.0,18.85,21.9,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0
274,10.6,13.3,17.8,17.8,23.3,27.8,15.55,18.299999999999997,22.25,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0
275,8.9,13.3,18.3,16.7,23.3,29.4,12.5,19.45,23.9,0.0,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0
276,9.4,14.4,20.0,15.0,25.6,30.0,12.2,20.55,24.450000000000003,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0
277,10.0,14.4,20.0,13.9,24.4,28.9,12.2,19.45,24.75,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0
278,8.9,14.4,19.4,17.8,23.9,28.3,13.6,19.4,23.9,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
279,9.4,13.9,20.0,18.9,22.8,28.3,13.65,18.6,24.200000000000003,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
280,8.3,13.3,18.9,15.6,23.9,28.9,11.9,19.700000000000003,23.85,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0
281,7.8,12.8,18.9,16.7,21.7,28.3,12.25,17.799999999999997,22.75,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0
282,7.8,12.2,18.3,17.2,21.7,29.4,13.35,17.5,23.6,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0
283,9.4,13.3,18.3,18.3,21.7,28.3,14.15,17.5,23.35,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
284,8.3,12.8,18.3,17.2,21.7,25.0,13.9,17.5,20.0,0.0,0.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0
285,7.8,12.2,17.2,18.3,22.2,25.6,13.6,16.950000000000003,20.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0
286,8.3,12.8,15.6,16.7,22.2,26.1,13.05,16.950000000000003,20.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
287,8.9,11.7,16.1,16.1,21.7,27.2,12.25,16.65,20.8,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0
288,6.7,10.0,16.1,16.7,21.1,26.7,11.95,15.85,21.4,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0
289,7.2,10.6,14.4,17.2,20.0,25.0,11.95,15.549999999999999,20.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0
290,6.1,10.0,15.0,15.6,18.9,25.0,11.4,14.200000000000001,20.8,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
291,4.4,8.9,13.9,15.0,20.0,26.1,10.0,14.45,19.15,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
292,5.6,9.4,15.0,14.4,20.0,24.4,10.55,15.549999999999999,19.15,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
293,6.7,10.6,13.3,15.0,20.0,25.0,11.4,15.25,18.85,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0
294,6.7,9.4,12.8,16.1,21.1,25.6,11.95,15.25,18.9,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
295,5.6,10.0,12.8,13.9,18.3,26.1,10.3,13.899999999999999,19.450000000000003,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0
296,4.4,7.8,13.3,12.8,19.4,25.6,8.9,13.9,19.700000000000003,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
297,5.0,8.3,14.4,12.2,20.0,24.4,8.899999999999999,14.399999999999999,18.6,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0
298,4.4,9.4,14.4,13.3,17.8,24.4,8.600000000000001,13.9,19.2,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0
299,5.6,9.4,15.0,13.9,17.8,22.8,9.7,13.6,18.65,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0
300,6.1,9.4,15.0,13.3,18.3,23.3,10.8,13.6,18.3,0.0,0.0,32.3,0.0,0.0,0.0,0.0,0.0,0.0
301,5.0,9.4,13.9,11.7,17.8,22.8,8.1,13.35,18.9,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0
302,2.8,7.8,13.3,11.7,16.7,21.1,7.8,12.5,15.850000000000001,0.0,0.0,29.2,0.0,0.0,0.0,0.0,0.0,0.0
303,3.9,6.1,13.9,12.8,18.3,25.6,7.5,12.2,18.9,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0
304,3.9,8.3,13.3,12.8,18.9,22.8,8.9,13.35,18.05,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
305,5.0,8.9,13.9,12.2,17.8,24.4,8.899999999999999,13.3,19.15,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0
306,3.3,7.8,12.8,11.7,16.7,22.8,7.199999999999999,12.25,18.05,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0
307,3.3,6.7,13.3,11.1,17.8,22.8,7.5,12.200000000000001,18.05,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
308,2.2,6.7,10.6,11.1,15.0,21.7,7.25,10.85,15.3,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0
309,1.7,6.7,12.8,10.6,16.7,23.9,6.65,11.149999999999999,18.3,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
310,2.2,7.8,15.6,11.1,16.1,25.0,7.5,11.4,18.6,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0
311,3.3,6.7,13.3,10.6,17.2,23.3,7.25,11.4,18.05,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
312,2.2,6.1,12.2,9.4,16.7,22.2,6.65,12.5,16.35,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0
313,1.1,6.7,10.6,8.9,16.1,21.7,6.1,11.7,16.1,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0
314,0.6,5.6,10.6,10.0,17.2,22.8,5.85,11.95,16.1,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0
315,0.6,6.1,13.3,8.9,16.1,21.7,4.2,11.399999999999999,17.200000000000003,0.0,0.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0
316,0.0,5.6,10.0,10.0,13.9,20.0,5.85,8.9,14.149999999999999,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
317,0.0,4.4,9.4,5.0,12.8,18.3,3.6,8.850000000000001,13.05,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0
318,0.6,3.3,11.1,5.6,13.3,18.9,3.35,8.6,15.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0
319,0.0,5.0,9.4,8.3,15.0,21.7,4.15,10.0,15.8,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0
320,-0.6,5.0,10.0,8.3,12.8,21.1,5.0,10.0,15.549999999999999,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0
321,-0.6,4.4,8.3,8.3,12.8,18.3,5.0,8.35,13.05,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
322,-1.0,3.9,7.8,7.2,12.8,21.1,3.3000000000000003,8.05,13.05,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
323,-1.7,3.9,11.1,8.3,12.8,18.3,4.15,8.05,13.899999999999999,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0
